distance,from,to,n
1,C,C,274
1,C,CG,14
1,C,CGO,3
1,C,CO,1
1,C,G,399
1,C,GO,5
1,C,H,255
1,C,HC,82
1,C,HCG,350
1,C,HCGO,1612
1,C,HCO,6
1,C,HG,16
1,C,HGO,6
1,C,HO,1
1,C,O,737
1,CG,C,16
1,CG,CG,11
1,CG,CGO,1
1,CG,G,16
1,CG,H,27
1,CG,HC,1
1,CG,HCG,15
1,CG,HCGO,71
1,CG,HO,1
1,CG,O,38
1,CGO,C,1
1,CGO,CG,1
1,CGO,CGO,1
1,CGO,G,1
1,CGO,H,4
1,CGO,HC,1
1,CGO,HCG,4
1,CGO,HCGO,18
1,CGO,O,9
1,CO,C,2
1,CO,CG,1
1,CO,CO,1
1,CO,G,4
1,CO,H,1
1,CO,HCG,4
1,CO,HCGO,12
1,CO,HG,1
1,CO,O,3
1,G,C,418
1,G,CG,17
1,G,CGO,3
1,G,CO,2
1,G,G,565
1,G,GO,6
1,G,H,352
1,G,HC,188
1,G,HCG,431
1,G,HCGO,2221
1,G,HCO,7
1,G,HG,14
1,G,HGO,2
1,G,HO,1
1,G,O,914
1,GO,C,2
1,GO,G,10
1,GO,H,4
1,GO,HC,2
1,GO,HCG,5
1,GO,HCGO,26
1,GO,O,8
1,H,C,299
1,H,CG,22
1,H,CO,2
1,H,G,389
1,H,GO,3
1,H,H,311
1,H,HC,101
1,H,HCG,345
1,H,HCGO,1633
1,H,HCO,5
1,H,HG,20
1,H,HGO,4
1,H,HO,4
1,H,O,771
1,HC,C,103
1,HC,CG,1
1,HC,CGO,1
1,HC,G,155
1,HC,GO,2
1,HC,H,104
1,HC,HC,86
1,HC,HCG,115
1,HC,HCGO,706
1,HC,HCO,8
1,HC,HG,1
1,HC,HGO,1
1,HC,HO,1
1,HC,O,299
1,HCG,C,334
1,HCG,CG,16
1,HCG,CGO,6
1,HCG,CO,1
1,HCG,G,452
1,HCG,GO,3
1,HCG,H,350
1,HCG,HC,143
1,HCG,HCG,425
1,HCG,HCGO,1939
1,HCG,HCO,3
1,HCG,HG,15
1,HCG,HGO,1
1,HCG,HO,3
1,HCG,O,848
1,HCGO,C,1652
1,HCGO,CG,79
1,HCGO,CGO,18
1,HCGO,CO,10
1,HCGO,G,2248
1,HCGO,GO,25
1,HCGO,H,1615
1,HCGO,HC,667
1,HCGO,HCG,1968
1,HCGO,HCGO,10109
1,HCGO,HCO,31
1,HCGO,HG,73
1,HCGO,HGO,19
1,HCGO,HO,5
1,HCGO,O,4326
1,HCO,C,7
1,HCO,G,11
1,HCO,H,5
1,HCO,HC,3
1,HCO,HCG,3
1,HCO,HCGO,33
1,HCO,HCO,1
1,HCO,O,16
1,HG,C,18
1,HG,G,9
1,HG,H,15
1,HG,HC,2
1,HG,HCG,12
1,HG,HCGO,67
1,HG,HCO,1
1,HG,HG,12
1,HG,HGO,1
1,HG,O,26
1,HGO,C,4
1,HGO,G,3
1,HGO,H,5
1,HGO,HC,2
1,HGO,HCG,4
1,HGO,HCGO,19
1,HGO,HG,1
1,HGO,O,7
1,HO,C,3
1,HO,CG,1
1,HO,G,2
1,HO,H,1
1,HO,HC,1
1,HO,HCG,1
1,HO,HCGO,8
1,HO,O,6
1,O,C,664
1,O,CG,30
1,O,CGO,11
1,O,CO,5
1,O,G,998
1,O,GO,10
1,O,H,700
1,O,HC,297
1,O,HCG,883
1,O,HCGO,4338
1,O,HCO,8
1,O,HG,36
1,O,HGO,11
1,O,HO,5
1,O,O,1913
100000,C,C,251
100000,C,CG,9
100000,C,CGO,1
100000,C,CO,1
100000,C,G,355
100000,C,GO,4
100000,C,H,267
100000,C,HC,102
100000,C,HCG,325
100000,C,HCGO,1572
100000,C,HCO,5
100000,C,HG,10
100000,C,HGO,3
100000,C,HO,4
100000,C,O,723
100000,CG,C,10
100000,CG,CG,2
100000,CG,G,16
100000,CG,H,19
100000,CG,HC,4
100000,CG,HCG,20
100000,CG,HCGO,74
100000,CG,O,34
100000,CGO,C,5
100000,CGO,G,6
100000,CGO,H,3
100000,CGO,HC,1
100000,CGO,HCG,4
100000,CGO,HCGO,15
100000,CGO,O,9
100000,CO,C,2
100000,CO,G,1
100000,CO,HC,1
100000,CO,HCG,1
100000,CO,HCGO,8
100000,CO,O,5
100000,G,C,367
100000,G,CG,21
100000,G,CGO,8
100000,G,CO,2
100000,G,G,534
100000,G,GO,5
100000,G,H,360
100000,G,HC,145
100000,G,HCG,473
100000,G,HCGO,2274
100000,G,HCO,2
100000,G,HG,19
100000,G,HGO,6
100000,G,HO,3
100000,G,O,1038
100000,GO,C,9
100000,GO,G,7
100000,GO,H,1
100000,GO,HC,1
100000,GO,HCG,4
100000,GO,HCGO,18
100000,GO,O,14
100000,H,C,260
100000,H,CG,14
100000,H,CGO,6
100000,H,CO,2
100000,H,G,349
100000,H,GO,6
100000,H,H,268
100000,H,HC,103
100000,H,HCG,316
100000,H,HCGO,1647
100000,H,HCO,4
100000,H,HG,11
100000,H,HGO,4
100000,H,HO,1
100000,H,O,704
100000,HC,C,78
100000,HC,CG,8
100000,HC,CGO,2
100000,HC,CO,1
100000,HC,G,122
100000,HC,GO,1
100000,HC,H,121
100000,HC,HC,49
100000,HC,HCG,150
100000,HC,HCGO,672
100000,HC,HCO,2
100000,HC,HG,9
100000,HC,O,287
100000,HCG,C,312
100000,HCG,CG,18
100000,HCG,CGO,3
100000,HCG,CO,2
100000,HCG,G,423
100000,HCG,GO,3
100000,HCG,H,321
100000,HCG,HC,149
100000,HCG,HCG,413
100000,HCG,HCGO,2023
100000,HCG,HCO,6
100000,HCG,HG,17
100000,HCG,HGO,9
100000,HCG,HO,2
100000,HCG,O,882
100000,HCGO,C,1575
100000,HCGO,CG,87
100000,HCGO,CGO,17
100000,HCGO,CO,11
100000,HCGO,G,2281
100000,HCGO,GO,26
100000,HCGO,H,1672
100000,HCGO,HC,720
100000,HCGO,HCG,2066
100000,HCGO,HCGO,9874
100000,HCGO,HCO,30
100000,HCGO,HG,69
100000,HCGO,HGO,19
100000,HCGO,HO,16
100000,HCGO,O,4302
100000,HCO,G,8
100000,HCO,H,4
100000,HCO,HC,3
100000,HCO,HCG,9
100000,HCO,HCGO,38
100000,HCO,HGO,1
100000,HCO,O,15
100000,HG,C,12
100000,HG,G,14
100000,HG,H,20
100000,HG,HC,3
100000,HG,HCG,11
100000,HG,HCGO,71
100000,HG,HCO,1
100000,HG,O,35
100000,HGO,C,2
100000,HGO,G,5
100000,HGO,GO,1
100000,HGO,H,4
100000,HGO,HC,3
100000,HGO,HCG,1
100000,HGO,HCGO,18
100000,HGO,HG,1
100000,HGO,O,16
100000,HO,C,2
100000,HO,G,3
100000,HO,HCG,1
100000,HO,HCGO,9
100000,HO,O,2
100000,O,C,714
100000,O,CG,37
100000,O,CGO,7
100000,O,CO,2
100000,O,G,940
100000,O,GO,8
100000,O,H,698
100000,O,HC,287
100000,O,HCG,896
100000,O,HCGO,4480
100000,O,HCO,15
100000,O,HG,47
100000,O,HGO,7
100000,O,HO,4
100000,O,O,1922
11,C,C,297
11,C,CG,14
11,C,CGO,5
11,C,CO,6
11,C,G,351
11,C,GO,5
11,C,H,277
11,C,HC,78
11,C,HCG,342
11,C,HCGO,1634
11,C,HCO,5
11,C,HG,26
11,C,HGO,3
11,C,HO,1
11,C,O,708
11,CG,C,11
11,CG,CG,8
11,CG,G,15
11,CG,H,24
11,CG,HCG,18
11,CG,HCGO,92
11,CG,O,42
11,CGO,C,6
11,CGO,G,4
11,CGO,H,2
11,CGO,HC,1
11,CGO,HCG,2
11,CGO,HCGO,22
11,CGO,O,8
11,CO,C,1
11,CO,CO,2
11,CO,G,1
11,CO,HCG,1
11,CO,HCGO,7
11,CO,HG,2
11,CO,O,4
11,G,C,346
11,G,CG,16
11,G,CGO,5
11,G,CO,1
11,G,G,556
11,G,GO,5
11,G,H,358
11,G,HC,183
11,G,HCG,427
11,G,HCGO,2215
11,G,HCO,15
11,G,HG,21
11,G,HGO,6
11,G,HO,1
11,G,O,956
11,GO,C,1
11,GO,G,11
11,GO,H,4
11,GO,HC,5
11,GO,HCG,1
11,GO,HCGO,30
11,GO,O,9
11,H,C,279
11,H,CG,18
11,H,CGO,4
11,H,G,340
11,H,GO,3
11,H,H,303
11,H,HC,92
11,H,HCG,337
11,H,HCGO,1648
11,H,HCO,9
11,H,HG,11
11,H,HGO,4
11,H,HO,1
11,H,O,720
11,HC,C,97
11,HC,CG,1
11,HC,CGO,2
11,HC,CO,1
11,HC,G,183
11,HC,GO,5
11,HC,H,93
11,HC,HC,89
11,HC,HCG,126
11,HC,HCGO,701
11,HC,HCO,7
11,HC,HG,1
11,HC,HGO,2
11,HC,HO,1
11,HC,O,290
11,HCG,C,340
11,HCG,CG,15
11,HCG,CGO,1
11,HCG,CO,1
11,HCG,G,439
11,HCG,GO,10
11,HCG,H,329
11,HCG,HC,111
11,HCG,HCG,466
11,HCG,HCGO,1992
11,HCG,HCO,5
11,HCG,HG,12
11,HCG,HGO,3
11,HCG,O,984
11,HCGO,C,1588
11,HCGO,CG,77
11,HCGO,CGO,19
11,HCGO,CO,12
11,HCGO,G,2256
11,HCGO,GO,25
11,HCGO,H,1615
11,HCGO,HC,680
11,HCGO,HCG,1915
11,HCGO,HCGO,10136
11,HCGO,HCO,37
11,HCGO,HG,71
11,HCGO,HGO,17
11,HCGO,HO,7
11,HCGO,O,4365
11,HCO,C,6
11,HCO,CO,1
11,HCO,G,10
11,HCO,H,5
11,HCO,HC,3
11,HCO,HCG,7
