distance,from,to,n
1,C,C,5257
1,C,CG,254
1,C,CGO,185
1,C,CO,109
1,C,G,2342
1,C,GO,126
1,C,H,1754
1,C,HC,751
1,C,HCG,3320
1,C,HCGO,12964
1,C,HCO,274
1,C,HG,184
1,C,HGO,181
1,C,HO,92
1,C,O,4708
1,CG,C,244
1,CG,CG,148
1,CG,CGO,22
1,CG,CO,5
1,CG,G,283
1,CG,GO,7
1,CG,H,193
1,CG,HC,6
1,CG,HCG,320
1,CG,HCGO,1039
1,CG,HCO,17
1,CG,HG,5
1,CG,HGO,11
1,CG,HO,17
1,CG,O,346
1,CGO,C,176
1,CGO,CG,33
1,CGO,CGO,37
1,CGO,CO,43
1,CGO,G,251
1,CGO,GO,45
1,CGO,H,137
1,CGO,HC,21
1,CGO,HCG,117
1,CGO,HCGO,836
1,CGO,HCO,12
1,CGO,HG,12
1,CGO,HGO,12
1,CGO,HO,3
1,CGO,O,581
1,CO,C,105
1,CO,CG,6
1,CO,CGO,35
1,CO,CO,25
1,CO,G,125
1,CO,GO,5
1,CO,H,86
1,CO,HC,11
1,CO,HCG,49
1,CO,HCGO,758
1,CO,HCO,39
1,CO,HG,17
1,CO,HGO,4
1,CO,HO,2
1,CO,O,239
1,G,C,2270
1,G,CG,289
1,G,CGO,223
1,G,CO,115
1,G,G,6884
1,G,GO,223
1,G,H,2195
1,G,HC,839
1,G,HCG,4319
1,G,HCGO,17234
1,G,HCO,293
1,G,HG,279
1,G,HGO,269
1,G,HO,123
1,G,O,6327
1,GO,C,146
1,GO,CG,6
1,GO,CGO,58
1,GO,CO,5
1,GO,G,221
1,GO,GO,70
1,GO,H,117
1,GO,HC,77
1,GO,HCG,137
1,GO,HCGO,1177
1,GO,HCO,9
1,GO,HG,8
1,GO,HGO,40
1,GO,HO,4
1,GO,O,427
1,H,C,1790
1,H,CG,172
1,H,CGO,147
1,H,CO,93
1,H,G,2229
1,H,GO,133
1,H,H,3580
1,H,HC,645
1,H,HCG,3106
1,H,HCGO,12496
1,H,HCO,274
1,H,HG,193
1,H,HGO,190
1,H,HO,77
1,H,O,4643
1,HC,C,722
1,HC,CG,14
1,HC,CGO,24
1,HC,CO,13
1,HC,G,792
1,HC,GO,67
1,HC,H,726
1,HC,HC,832
1,HC,HCG,1144
1,HC,HCGO,4207
1,HC,HCO,116
1,HC,HG,17
1,HC,HGO,37
1,HC,HO,12
1,HC,O,1521
1,HCG,C,3264
1,HCG,CG,341
1,HCG,CGO,109
1,HCG,CO,75
1,HCG,G,4387
1,HCG,GO,110
1,HCG,H,3170
1,HCG,HC,1162
1,HCG,HCG,9107
1,HCG,HCGO,20945
1,HCG,HCO,197
1,HCG,HG,301
1,HCG,HGO,122
1,HCG,HO,80
1,HCG,O,7990
1,HCGO,C,13093
1,HCGO,CG,1007
1,HCGO,CGO,853
1,HCGO,CO,763
1,HCGO,G,17213
1,HCGO,GO,1195
1,HCGO,H,12436
1,HCGO,HC,4121
1,HCGO,HCG,21099
1,HCGO,HCGO,152266
1,HCGO,HCO,1328
1,HCGO,HG,997
1,HCGO,HGO,900
1,HCGO,HO,729
1,HCGO,O,37439
1,HCO,C,275
1,HCO,CG,13
1,HCO,CGO,14
1,HCO,CO,43
1,HCO,G,321
1,HCO,GO,17
1,HCO,H,246
1,HCO,HC,124
1,HCO,HCG,217
1,HCO,HCGO,1334
1,HCO,HCO,91
1,HCO,HG,19
1,HCO,HGO,12
1,HCO,HO,42
1,HCO,O,827
1,HG,C,236
1,HG,CG,12
1,HG,CGO,8
1,HG,CO,20
1,HG,G,279
1,HG,GO,4
1,HG,H,242
1,HG,HC,19
1,HG,HCG,317
1,HG,HCGO,1009
1,HG,HCO,9
1,HG,HG,148
1,HG,HGO,34
1,HG,HO,6
