distance,from,to,n
1,C,C,6637
1,C,CG,84
1,C,CGO,77
1,C,CO,81
1,C,G,1034
1,C,GO,55
1,C,H,762
1,C,HC,477
1,C,HCG,1451
1,C,HCGO,7055
1,C,HCO,109
1,C,HG,131
1,C,HGO,303
1,C,HO,25
1,C,O,2350
1,CG,C,55
1,CG,CG,58
1,CG,CGO,7
1,CG,G,88
1,CG,GO,1
1,CG,H,32
1,CG,HC,7
1,CG,HCG,89
1,CG,HCGO,319
1,CG,HCO,2
1,CG,HG,1
1,CG,HGO,5
1,CG,HO,8
1,CG,O,116
1,CGO,C,76
1,CGO,CG,4
1,CGO,CGO,19
1,CGO,CO,13
1,CGO,G,95
1,CGO,GO,12
1,CGO,H,38
1,CGO,HC,8
1,CGO,HCG,59
1,CGO,HCGO,348
1,CGO,HCO,7
1,CGO,HG,3
1,CGO,HGO,2
1,CGO,O,216
1,CO,C,60
1,CO,CGO,9
1,CO,CO,57
1,CO,G,51
1,CO,GO,4
1,CO,H,21
1,CO,HC,2
1,CO,HCG,27
1,CO,HCGO,282
1,CO,HCO,13
1,CO,HG,14
1,CO,HGO,3
1,CO,HO,1
1,CO,O,105
1,G,C,1089
1,G,CG,82
1,G,CGO,105
1,G,CO,35
1,G,G,3693
1,G,GO,126
1,G,H,888
1,G,HC,519
1,G,HCG,2145
1,G,HCGO,9313
1,G,HCO,168
1,G,HG,98
1,G,HGO,114
1,G,HO,32
1,G,O,3004
1,GO,C,57
1,GO,CGO,11
1,GO,CO,1
1,GO,G,114
1,GO,GO,62
1,GO,H,47
1,GO,HC,48
1,GO,HCG,48
1,GO,HCGO,564
1,GO,HCO,3
1,GO,HG,5
1,GO,HGO,20
1,GO,O,232
1,H,C,725
1,H,CG,43
1,H,CGO,51
1,H,CO,25
1,H,G,975
1,H,GO,54
1,H,H,1490
1,H,HC,416
1,H,HCG,1299
1,H,HCGO,5908
1,H,HCO,104
1,H,HG,71
1,H,HGO,99
1,H,HO,26
1,H,O,1920
1,HC,C,482
1,HC,CG,11
1,HC,CGO,13
1,HC,CO,6
1,HC,G,513
1,HC,GO,45
1,HC,H,410
1,HC,HC,626
1,HC,HCG,692
1,HC,HCGO,2903
1,HC,HCO,86
1,HC,HG,8
1,HC,HGO,20
1,HC,HO,2
1,HC,O,931
1,HCG,C,1440
1,HCG,CG,103
1,HCG,CGO,45
1,HCG,CO,21
1,HCG,G,2095
1,HCG,GO,52
1,HCG,H,1282
1,HCG,HC,692
1,HCG,HCG,4014
1,HCG,HCGO,10563
1,HCG,HCO,89
1,HCG,HG,95
1,HCG,HGO,53
1,HCG,HO,18
1,HCG,O,3592
1,HCGO,C,6924
1,HCGO,CG,310
1,HCGO,CGO,337
1,HCGO,CO,310
1,HCGO,G,9459
1,HCGO,GO,624
1,HCGO,H,5952
1,HCGO,HC,2902
1,HCGO,HCG,10808
1,HCGO,HCGO,86823
1,HCGO,HCO,681
1,HCGO,HG,341
1,HCGO,HGO,483
1,HCGO,HO,297
1,HCGO,O,20316
1,HCO,C,111
1,HCO,CG,1
1,HCO,CGO,1
1,HCO,CO,15
1,HCO,G,176
1,HCO,GO,5
1,HCO,H,92
1,HCO,HC,73
1,HCO,HCG,106
1,HCO,HCGO,658
1,HCO,HCO,71
1,HCO,HG,5
1,HCO,HGO,2
1,HCO,HO,11
1,HCO,O,396
1,HG,C,113
1,HG,CG,3
1,HG,CGO,6
1,HG,CO,16
1,HG,G,89
1,HG,GO,1
1,HG,H,69
1,HG,HC,12
1,HG,HCG,81
1,HG,HCGO,349
1,HG,HCO,3
1,HG,HG,108
1,HG,HGO,45
1,HG,HO,1
1,HG,O,110
1,HGO,C,283
1,HGO,CG,3
1,HGO,CGO,4
1,HGO,CO,2
1,HGO,G,140
1,HGO,GO,23
1,HGO,H,82
1,HGO,HC,12
1,HGO,HCG,61
1,HGO,HCGO,531
1,HGO,HCO,6
1,HGO,HG,37
1,HGO,HGO,268
1,HGO,HO,14
1,HGO,O,250
1,HO,C,32
1,HO,CG,8
